blogs,Rating,Discussion of Costs,Quantification of Benefits,Explanation/Quantification of Harms
https://www.healthnewsreview.org/review/new-york-times-warns-readers-that-new-flu-drug-is-no-miracle-cure/,4,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/litany-of-errors-hampers-reuters-story-on-experimental-breast-cancer-drug/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/healthday-story-speculates-that-two-experimental-cystic-fibrosis-drugs-are-breakthrough-and-game-changing/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/healthday-touts-nerve-device-as-more-effective-but-data-is-from-unpublished-study-with-no-control-group/,3,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/inquirers-look-at-using-facebook-to-screen-for-depression-emphasizes-research-is-still-in-very-early-stages/,4,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/reuters-once-again-rehashes-drug-company-news-release/,2,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/doctors-620000-conflict-of-interest-not-disclosed-in-inquirer-story-on-new-migraine-drugs/,3,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/ap-offers-strong-reporting-about-the-evidence-for-a-drug-treatment-for-moderate-bone-loss/,5,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/are-bacteria-useful-as-cancer-weapons-or-far-too-early-to-know-key-context-missing-from-healthday-story/,2,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/newsweek-overlooks-key-limitation-of-study-on-vitamin-d-and-childhood-obesity/,2,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/antidepressants-and-therapy-may-ease-ibs-but-reuters-health-story-is-unclear-on-extent-of-benefit/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/stats-cheerleading-coverage-of-prescription-fish-oil-capsule-lacks-crucial-context/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/ny-times-hails-mitraclip-a-huge-advance-for-heart-failure-but-independent-sources-might-have-said-otherwise/,3,Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/newsweek-story-on-zika-vaccine-to-zap-brain-cancer-is-fascinating-but-needed-more-caution-about-mouse-research/,4,Not Applicable,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/one-womans-account-of-spinal-cord-stimulator-skips-realities-of-medical-device-safety-in-u-s/,2,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/u-s-news-churns-out-puff-piece-on-medical-marijuana-app-research/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/reuters-story-on-kidney-cancer-drug-makes-us-ask-how-is-this-journalism/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/healthday-story-describes-a-randomized-controlled-trial-as-if-its-an-observational-study/,4,Not Applicable,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/doctors-pharma-ties-not-disclosed-in-nbcs-story-that-promotes-more-use-of-weight-loss-drugs/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/u-s-news-world-report-regurgitates-news-release-on-cannabidiol-and-psychosis/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/wsj-reporter-claims-a-carotid-artery-scan-saved-his-life-but-theres-no-way-to-know-that/,2,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/without-an-independent-source-buzzfeeds-story-on-a-medical-device-for-ocd-doesnt-offer-much-beyond-the-news-release/,3,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/just-like-the-news-release-newsweek-is-prematurely-optimistic-about-experimental-ovarian-cancer-drug/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/talazoparib-touted-as-promising-but-what-makes-it-different-from-a-similar-breast-cancer-drug-thats-already-fda-approved/,3,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/multigene-test-may-find-risk-for-common-diseases-but-theres-no-evidence-it-will-make-anyone-healthier/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/how-solid-is-the-evidence-behind-fda-cleared-contraceptive-app-abc-news-doesnt-say/,3,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/when-n1-its-easy-to-jump-to-conclusions-about-a-therapy-working/,4,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/healthday-neglects-the-potential-harms-of-transplanting-hepatitis-infected-kidneys/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/newsweek-prematurely-reports-promise-for-ketamine-as-a-treatment-for-depressed-teens/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/abc-doesnt-oversell-early-research-on-blood-test-for-depression/,4,Not Applicable,Not Applicable,Not Satisfactory
https://www.healthnewsreview.org/review/but-it-comes-with-some-big-caveats-vox-is-clear-about-drawbacks-of-new-endometriosis-drug/,4,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/healthday-provides-needed-details-on-side-effects-of-pot-derived-drug-studied-for-alzheimers-agitation/,4,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/its-way-too-soon-to-know-if-melanoma-blood-test-will-save-thousands-of-lives/,4,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/all-anecdote-no-data-nprs-take-on-high-blood-pressure-and-dementia/,3,Not Applicable,Not Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/a-50-reduction-in-suicide-risk-npr-story-overstates-the-evidence-for-safety-planning-intervention/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/genetic-testing-to-guide-antidepressant-choices-big-news-coverage-but-limited-evidence/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/wsj-offers-caution-early-and-often-in-coverage-of-latest-experimental-alzheimers-drug/,5,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/a-possible-link-between-eyesight-and-cognitive-function-reuters-health-summary-is-a-little-out-of-focus/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/stat-suggests-flu-drug-could-upend-treatment-but-theres-plenty-to-question-about-this-claim/,4,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/npr-deftly-summarizes-results-of-early-study-using-polio-vaccine-for-brain-cancer/,4,Not Applicable,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/highly-atypical-patient-anecdote-throws-off-mostly-well-reported-nbc-news-story-on-experimental-brain-cancer-treatment/,4,Not Applicable,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/fda-approves-new-drug-but-was-the-evidence-solid-washington-post-doesnt-say/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/small-diabetes-vaccine-study-stat-provides-lots-of-useful-numbers-for-readers/,4,Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/one-blood-test-to-diagnose-diabetes-healthday-doesnt-address-harms-of-overdiagnosis-and-overtreatment/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/newsweeks-story-on-the-168-diet-its-not-much-more-than-a-news-release-rewrite-but-its-at-least-cautious/,3,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/heres-one-detail-that-should-be-included-in-almost-all-stories-about-cancer-screening-studies/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/buzzfeed-warns-readers-a-lot-more-work-to-be-done-to-find-out-if-experimental-blood-test-can-predict-preterm-birth/,4,Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/can-texting-help-chemo-patients-reuters-health-story-keeps-most-study-details-on-the-dl/,2,Not Satisfactory,Not Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/npr-yet-again-writes-uncritically-about-ketamine-for-mental-illness/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/numerous-problems-plague-guardians-coverage-of-holy-grail-of-cancer-research/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/deep-brain-stimulation-diabetes/,4,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/healthday-rehashes-news-release-claiming-researchers-have-found-new-type-of-vertigo/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/a-study-that-may-help-reduce-overtreatment-of-breast-cancer-gets-solid-write-up-by-bloomberg/,4,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/drugs-ability-to-lower-frequency-of-migraines-by-50-percent-sounds-pretty-good-until-you-read-the-fine-print/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/laughing-gas-makes-a-comeback-for-women-in-labor-like-kate-middleton/,4,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/reuters-story-on-ms-drug-for-kids-even-less-informative-than-the-fda-news-release/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/newsweek-stokes-false-hope-with-cure-for-baldness-based-on-preliminary-evidence/,3,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/gene-test-for-depression-treatment-realistic-patient-story-helps-keep-wsj-article-grounded/,4,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/independent-viewpoint-helps-round-out-healthday-story-on-impact-of-earlier-mammograms/,4,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/thank-you-new-york-times-for-asking-who-is-behind-these-studies-where-does-the-money-come-from/,4,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/another-rehashed-news-release-from-the-guardian-this-time-about-partial-vs-full-knee-replacement-surgery/,2,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/in-comparison-of-clot-busting-drugs-healthday-gets-props-for-being-clear-on-costs-and-harms/,4,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/prostate-cancer-breakthrough-guardian-spoon-feeds-university-news-release-to-readers/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/reuters-numbs-with-numbers-on-experimental-migraine-drug/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/can-thinking-differently-help-sooth-chronic-back-pain-hard-to-tell-from-healthdays-fuzzy-reporting/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/immunotherapy-prolongs-survival-but-at-what-cost-washington-post-needed-more-on-treatment-downsides/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/without-any-independent-sources-providing-insight-readers-of-times-coverage-on-lung-cancer-immunotherapy-mostly-left-in-the-dark/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/diagnosing-alzheimers-using-biomarkers-ap-makes-it-clear-theres-little-benefits-to-patients/,4,Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/by-downplaying-risks-ny-times-column-gives-lopsided-take-on-new-shingles-vaccine/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/cnn-leaves-out-key-limitation-to-study-on-legalizing-marijuana-and-opioid-use/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/boston-globe-overlooks-evidence-showing-many-patients-not-helped-by-bionic-joint-replacements/,3,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/prostate-cancer-gene-test-wsj-story-needed-more-discussion-on-lack-of-long-term-data/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/aps-look-at-selfie-medicine-adherence-programs-overlooked-evidence-showing-they-dont-work-well/,3,Not Satisfactory,Not Applicable,Satisfactory
https://www.healthnewsreview.org/review/reuters-lets-roche-make-data-free-claims-about-drugs-impact-on-lung-cancer-survival/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/significant-conflicts-of-interest-not-disclosed-in-la-times-story-on-modified-pap-tests/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/inquirer-provides-balanced-and-complete-summary-of-debate-over-kratom-an-herbal-opioid/,5,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/like-so-many-news-stories-before-it-newsweek-article-makes-male-birth-control-pill-sound-imminent/,3,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/is-an-unfinished-pilot-study-of-8-patients-really-newsworthy-healthday-thinks-so/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/how-strong-is-the-evidence-behind-fdas-proposal-to-reduce-nicotine-levels-in-cigarettes-reuters-story-doesnt-say/,3,Not Applicable,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/three-in-one-blood-pressure-pill-shows-promise-compared-to-usual-care-healthday-says-never-explaining-what-that-is/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/in-rehash-of-news-release-abc-news-glosses-over-realities-of-experimental-menopause-drug/,2,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/a-pat-on-the-back-to-cnn-for-its-well-written-story-on-barbershops-and-blood-pressure/,5,Not Applicable,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/usa-today-rehashes-pr-talking-points-in-story-on-at-home-breast-cancer-gene-test/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/vox-thoroughly-covers-study-on-treatment-alternatives-to-alcoholics-anonymous/,5,Not Applicable,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/npr-story-about-online-weight-loss-program-left-out-a-big-detail-how-much-does-it-cost/,3,Not Satisfactory,Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/aps-widely-reported-story-on-safer-iv-fluids-oversimplified-the-evidence/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/though-it-may-improve-symptoms-minimally-invasive-aortic-valve-surgery-is-not-without-risks/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/retinal-scans-to-detect-heart-attack-risk-newsweek-offers-a-blurry-picture/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/newsweek-headline-overreaches-with-assertion-that-many-more-should-take-antidepressants/,2,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/guardian-trumpets-test-diagnose-autism-wheres-evidence/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/cnn-wrongly-reports-that-a-new-blood-test-can-help-detect-concussion/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/abc-downplays-gloomy-context-in-reporting-remarkable-bace1-finding-for-alzheimers/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/could-this-be-a-perfect-example-of-health-news-clickbait/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/a-flu-killing-uv-lamp-time-overreaches-about-the-state-of-the-science/,2,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/healthday-speculates-about-flu-fighting-abilities-of-uvc-light/,2,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/emerging-migraine-treatments-npr-story-deftly-weighs-the-good-the-bad-and-the-unknowns/,4,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/lack-of-harms-and-disease-mongering-dog-bloombergs-story-on-prostate-cancer-drugs/,3,Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/bloomberg-highlights-modest-weight-loss-benefit-from-standing-desks-study-missing-a-focus-on-better-alternatives/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/an-alzheimers-study-that-included-just-3-people-does-that-warrant-mainstream-news-coverage/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/hyperbaric-therapy-for-concussion-washington-post-left-out-potential-harms/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/though-it-may-reduce-impact-of-a-stroke-blood-clot-removal-surgery-is-not-without-risks/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/doctor-with-industry-ties-call-sleep-apnea-device-revolutionary-and-a-game-changer-in-cbs-news-story/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/high-tech-buzzwords-and-scary-patient-anecdote-dominate-nbcs-story-on-new-approach-for-aortic-aneurysms/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/cautious-independent-voices-help-round-out-nprs-look-at-experimental-test-for-cancer/,5,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/its-unknown-whether-treatment-increases-survival-ap-wisely-notes-about-new-breast-cancer-drug/,3,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/healthdays-piece-on-bone-cement-doesnt-hold-together/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/stem-cells-for-knee-problems-wsj-doesnt-explore-costs-harms-alternatives/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/nprs-story-on-weight-loss-surgery-in-teens-cost-info-would-have-improved-a-well-reported-story/,4,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/cnn-wisely-challenges-850000-price-for-gene-therapy-but-what-about-the-claims-of-effectiveness/,3,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/reuters-health-story-on-glaucoma-and-drinking-hot-tea-skims-over-study-limitations/,4,Not Applicable,Not Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/exercise-and-mild-cognitive-impairment-how-solid-is-the-evidence-u-s-news-doesnt-say/,3,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/la-times-provides-strong-overview-on-study-showing-vitamin-d-and-calcium-supplements-dont-prevent-fractures/,4,Not Applicable,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/little-evidence-to-support-assertion-in-u-s-news-story-that-adhd-drugs-can-help-smokers-quit/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/no-discussion-of-risks-in-nprs-look-at-brain-zapping-implants-to-treat-destructive-impulses/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/antibiotics-could-dramatically-reduce-stis-stat-says-though-findings-apply-to-small-group-of-men/,3,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/inquirer-story-skirts-discussion-of-evidence-for-experimental-migraine-drug/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/healthday-parrots-another-news-release-this-time-overstating-benefits-of-exercise-for-lymphoma/,2,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/gene-therapy-and-hemophilia-washington-post-wisely-tells-readers-the-study-has-some-limitations/,4,Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/a-short-small-study-cant-prove-opening-doors-or-windows-improves-sleep-quality/,3,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/when-weight-loss-is-the-intervention-its-still-important-to-talk-about-costs-and-harms/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/outside-experts-help-round-out-nbcs-report-on-minimally-invasive-back-pain-procedure/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/migraine-drug-halve-length-attacks-study-shows/,2,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/fecal-transplant-via-a-pill-newsweeks-coverage-points-out-possible-selection-bias-of-study-participants/,4,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/patient-anecdote-outweighs-data-in-aps-look-at-lymph-node-replacement-surgery/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/be-wary-of-news-headlines-promising-to-unlock-secrets-of-living-longer/,2,Not Applicable,Not Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/spit-test-for-concussion-detection-cnn-story-includes-some-important-caveats/,4,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/skimpy-abn-news-story-on-new-blood-pressure-guidelines-unlikely-to-help-readers-much/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/cnn-is-clear-on-the-comparative-benefits-of-two-drugs-for-opioid-use-disorder/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/regular-painkillers-work-as-well-as-opioids-for-fractures-but-is-this-new-information/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/buzzfeed-story-on-iuds-and-cervical-cancer-warns-readers-these-are-observational-studies/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/preliminary-alzheimers-study-involving-plasma-infusions-was-this-really-newsworthy/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/nyt-dives-deep-into-potential-impact-of-stent-study-but-needed-more-specifics-on-what-was-measured/,4,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/wsjs-look-at-stent-study-solid-reporting-with-room-for-more-detail-on-costs-and-risks/,4,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/first-test-anti-epilepsy-surgeries-children-shows-dramatic-benefit/,4,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/u-s-news-world-report-story-on-copd-and-vitamin-a-left-us-wondering-whats-the-news/,4,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/healthdays-rehashed-news-release-overstates-dementia-benefits-blood-thinners/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/plenty-of-context-but-evidence-was-awol-in-wsj-story-on-uterine-fibroid-treatment/,4,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/brief-but-informative-report-from-ap-on-newly-approved-shingles-vaccine/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/washington-post-wisely-quantifies-severe-side-effects-and-deaths-from-car-t-cell-therapy/,3,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/readers-will-be-swept-in-by-newsweeks-story-on-pending-muscular-dystrophy-drug-but-what-does-the-evidence-show/,4,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/wise-wsj-reporting-on-ebola-vaccine-it-is-unknown-what-antibody-levels-are-needed-to-protect-patients/,4,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/healthday-rehashes-news-release-in-uncritical-look-at-breast-cancer-screening/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/drink-more-water-to-reduce-uti-risk-urge-researchers-who-work-for-evians-manufacturer/,3,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/new-york-times-is-upfront-about-risk-of-absolutely-crazy-prices-for-gene-therapy-treatment/,4,Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/ap-makes-it-clear-that-gene-therapy-has-uncertain-future-for-treating-ald/,4,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/may-help-may-prevent-conditional-statements-water-down-times-look-at-exercise-and-depression-study/,3,Not Applicable,Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/aps-write-up-on-a-new-continuous-blood-sugar-monitor-wheres-the-proof-that-it-works/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/study-limitations-needed-more-attention-in-inquirers-look-at-whooping-cough-vaccine-study/,4,Not Satisfactory,Not Satisfactory,Satisfactory
